metric,A_sql_only,B_sql_kpi,C_full
execution_accuracy,0.9411764705882353,0.9411764705882353,0.9411764705882353
sql_validity_rate,1.0,1.0,1.0
business_answer_correctness,0.9411764705882353,0.9411764705882353,0.9411764705882353
evidence_support_rate,0.8176470588235292,0.8176470588235292,0.8176470588235292
avg_confidence,0.6666666666666666,0.6733333333333332,0.667074074074074
high_confidence_error_rate,0.058823529411764705,0.058823529411764705,0.058823529411764705
decision_correctness,0.9629629629629629,0.9629629629629629,0.9629629629629629
unsafe_answer_rate,0.037037037037037035,0.037037037037037035,0.037037037037037035
ece,0.05882352941176472,0.05882352941176472,0.0405882352941177
brier,0.058823529411764705,0.058823529411764705,0.05582941176470588
